Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScenarioAwal,Chrome 70.0.3538.102,,2018-11-22 16:45:11,2018-11-22 16:46:20,1m - 9.074s,FAILED
,,,,,,
Test Cases/Test Case,Chrome 70.0.3538.102,,2018-11-22 16:45:12,2018-11-22 16:46:19,1m - 7.556s,FAILED
openBrowser,Chrome 70.0.3538.102,Open Browser,2018-11-22 16:45:12,2018-11-22 16:45:31,18.842s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-22 16:45:31,2018-11-22 16:45:31,0.170s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 16:45:31,2018-11-22 16:45:33,1.212s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:45:33,2018-11-22 16:45:36,3.044s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(kumparan/dismisspopUP))),Chrome 70.0.3538.102,Dismiss Popup,2018-11-22 16:45:36,2018-11-22 16:45:39,3.249s,PASSED
click,Chrome 70.0.3538.102,Login Using Facebook,2018-11-22 16:45:39,2018-11-22 16:45:39,0.315s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:45:39,2018-11-22 16:45:40,0.279s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:45:40,2018-11-22 16:45:40,0.052s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:45:40,2018-11-22 16:46:19,39.782s,FAILED
